Date,Stock_name,Transaction_price,Event,Total_unit,Net_worth
2020-04-20,YESBANK.NS,0,Buy,420088.0,10754270.264073376
2020-04-20,YESBANK.NS,618579.5960250854,Sell,420088.0,11753029.628299145
2020-04-21,LAURUSLABS.NS,0,Buy,145458.0,11753029.628299145
2020-04-21,LAURUSLABS.NS,662997.5906341553,Sell,145458.0,12596977.006445507
2020-04-24,LAURUSLABS.NS,0,Buy,135160.0,12596977.006445507
2020-04-24,LAURUSLABS.NS,668771.6738128662,Sell,135160.0,12706727.22136555
2020-04-29,SAIL.BO,0,Buy,459556.0,12706727.22136555
2020-04-29,SAIL.BO,693929.5775306702,Sell,459556.0,13184665.969754985
2020-04-30,TATAMOTORS.NS,0,Buy,153399.0,13184665.969754985
2020-04-30,TATAMOTORS.NS,715222.8375,Sell,153399.0,13589256.30039158
2020-05-04,BHARTIARTL.NS,0,Buy,27045.0,13589256.30039158
2020-05-04,BHARTIARTL.NS,720073.125,Sell,27045.0,13681885.09525242
2020-05-07,JSWENERGY.BO,0,Buy,376393.0,13681885.09525242
2020-05-07,JSWENERGY.BO,760313.888716507,Sell,376393.0,14445964.005196191
2020-05-12,NTPC.NS,0,Buy,167005.0,14445964.005196191
2020-05-12,NTPC.NS,765300.4252414703,Sell,167005.0,14540739.584784128
2020-05-19,BHARTIARTL.NS,0,Buy,26035.0,14540739.584784128
2020-05-19,BHARTIARTL.NS,779487.8841094971,Sell,26035.0,14810461.882864572
2020-06-02,JSWENERGY.BO,0,Buy,354317.0,14810461.882864572
2020-06-02,JSWENERGY.BO,797213.25,Sell,354317.0,15147063.30318699
2020-06-05,TATAMOTORS.NS,0,Buy,150792.0,15147063.30318699
2020-06-05,TATAMOTORS.NS,835010.7000000001,Sell,150792.0,15865210.663367655
2020-06-12,TATAMOTORS.NS,0,Buy,161889.0,15865210.663367655
2020-06-12,TATAMOTORS.NS,852345.6097023011,Sell,161889.0,16194655.247711375
2020-06-19,TATAMOTORS.NS,0,Buy,167820.0,16194655.247711375
2020-06-19,TATAMOTORS.NS,860077.5,Sell,167820.0,16341497.747711375
2020-06-23,NTPC.NS,0,Buy,171834.0,16341497.747711375
2020-06-23,NTPC.NS,865613.775,Sell,171834.0,16446746.334909251
2020-07-08,SAIL.BO,0,Buy,498386.0,16446746.334909251
